step;CLsAvg;CLsStd;CLsMin;CLsMax;CLsByMagAvg;CLsByMagStd;CLsByMagMin;CLsByMagMax;FLsAvg;FLsStd;FLsMin;FLsMax;PayAvg;PayStd;PayMin;PayMax;PeopleWorkExtraAvg;PeopleWorkExtraStd;PeopleWorkExtraMin;PeopleWorkExtraMax;PeopleWithBonusAvg;PeopleWithBonusStd;PeopleWithBonusMin;PeopleWithBonusMax;ExpectedCLsAvg;ExpectedCLsStd;ExpectedCLsMin;ExpectedCLsMax;ExpectedFLsAvg;ExpectedFLsStd;ExpectedFLsMin;ExpectedFLsMax;
58;23133.3672;114.5349;22931.0000;23406.0000;1816.2274;25.4652;1772.2527;1866.8217;11206.3662;85.0223;11041.0000;11373.0000;6.1345;0.5373;5.2136;7.0870;110.5667;3.5398;101.0000;116.0000;0.0000;0.0000;0.0000;0.0000;22578.3008;122.5117;22315.0000;22815.0000;11761.4336;102.6681;11518.0000;11935.0000;
59;23526.9004;115.2438;23323.0000;23809.0000;1846.2920;25.6342;1797.6787;1891.3154;11399.5000;84.6106;11221.0000;11564.0000;6.0129;0.5942;4.8988;7.1625;113.0000;5.1125;101.0000;120.0000;0.0000;0.0000;0.0000;0.0000;22963.5000;127.3458;22695.0000;23208.0000;11962.9004;103.5326;11709.0000;12133.0000;
60;23919.6660;114.1911;23718.0000;24181.0000;1877.9902;26.4303;1828.1207;1924.3795;11589.4668;88.0336;11414.0000;11755.0000;6.3397;0.4865;5.2664;7.0959;109.0000;4.4178;102.0000;123.0000;0.0000;0.0000;0.0000;0.0000;23349.4668;124.4513;23095.0000;23577.0000;12159.6670;102.8522;11908.0000;12342.0000;
61;24311.6992;113.5044;24117.0000;24578.0000;1908.1105;26.9729;1860.3948;1953.9249;11782.8330;86.8110;11608.0000;11950.0000;6.0241;0.5405;5.0153;7.1571;112.3333;4.3891;106.0000;121.0000;0.0000;0.0000;0.0000;0.0000;23732.0000;126.4516;23465.0000;23962.0000;12362.5332;107.2634;12097.0000;12553.0000;
62;24703.2676;112.4520;24511.0000;24973.0000;1939.0612;28.0429;1891.3683;1987.4954;11975.0000;86.9970;11788.0000;12149.0000;6.1902;0.5978;4.3606;7.1286;110.6667;3.8893;103.0000;120.0000;0.0000;0.0000;0.0000;0.0000;24112.3340;124.3985;23852.0000;24335.0000;12565.9336;104.7624;12303.0000;12761.0000;
63;25096.5000;110.1002;24919.0000;25375.0000;1969.7400;28.2059;1921.4011;2018.8474;12166.5996;87.7184;11983.0000;12339.0000;6.1358;0.5756;4.9539;7.7258;112.3667;3.9782;104.0000;121.0000;0.0000;0.0000;0.0000;0.0000;24495.0664;119.9684;24243.0000;24716.0000;12768.0332;101.8029;12513.0000;12956.0000;
64;25490.0664;110.0037;25309.0000;25796.0000;2000.4681;28.9923;1949.5531;2050.3220;12355.5332;88.2745;12152.0000;12523.0000;6.1456;0.5556;5.1974;7.0374;111.1333;4.1666;101.0000;117.0000;0.0000;0.0000;0.0000;0.0000;24878.2676;120.9331;24633.0000;25094.0000;12967.3330;101.0955;12713.0000;13157.0000;
65;25884.5664;109.9256;25693.0000;26182.0000;2031.8895;29.1268;1977.1979;2083.5784;12546.8662;90.2287;12327.0000;12723.0000;6.2843;0.5682;4.9422;7.3770;109.8000;3.8363;101.0000;117.0000;0.0000;0.0000;0.0000;0.0000;25259.1992;122.0434;25015.0000;25482.0000;13172.2334;102.5562;12924.0000;13364.0000;
66;26280.6660;108.0675;26089.0000;26578.0000;2061.8601;29.3560;2010.6383;2114.5017;12738.9668;89.0631;12520.0000;12919.0000;5.9942;0.4479;4.8516;6.8556;113.6667;4.0881;107.0000;121.0000;0.0000;0.0000;0.0000;0.0000;25647.3008;125.3115;25399.0000;25874.0000;13372.3330;99.9660;13135.0000;13562.0000;
67;26672.3008;105.6928;26493.0000;26969.0000;2093.0740;28.7382;2044.5278;2140.2681;12927.3330;89.3881;12706.0000;13100.0000;6.2428;0.6927;5.0255;7.8042;110.7333;4.4251;100.0000;118.0000;0.0000;0.0000;0.0000;0.0000;26030.4336;124.6351;25771.0000;26257.0000;13569.2002;102.9752;13331.0000;13745.0000;
68;27066.3008;109.3842;26890.0000;27362.0000;2124.3289;29.0540;2073.0540;2172.8799;13119.0332;88.8348;12901.0000;13277.0000;6.2509;0.5919;4.7348;7.3704;111.7333;5.3623;98.0000;121.0000;0.0000;0.0000;0.0000;0.0000;26412.0000;126.1242;26146.0000;26654.0000;13773.3330;102.8086;13525.0000;13949.0000;
69;27459.6328;108.0499;27273.0000;27751.0000;2155.7078;28.7611;2104.6055;2203.1650;13310.2002;89.4298;13096.0000;13478.0000;6.2758;0.5639;5.3528;7.4800;111.9667;3.3372;105.0000;118.0000;0.0000;0.0000;0.0000;0.0000;26799.0332;131.1139;26529.0000;27055.0000;13970.7998;105.5849;13708.0000;14168.0000;
