LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80;CertaintyForConv;ConvertedLead
232031334;0.0;Systems & Services;51;51;51;-1;51;51;-1;-1;0.2;0
232031335;0.0;Systems & Services;51;51;51;-1;51;51;-1;-1;0.2;0
232031337;0.01690648745519713;Products;51;61;-1;61;-1;51;51;-1;0.4;1
232031342;0.07299641577060932;Systems & Services;51;65;-1;65;-1;51;54;51;0.4;1
232031343;0.034770609318996414;Products;51;59;-1;59;-1;51;51;-1;0.4;1
232031345;0.0107878853046595;Products;51;58;-1;58;-1;51;51;58;0.8;1
232031349;0.007401433691756273;Products;51;52;-1;52;-1;51;51;-1;0.4;1
232031350;0.014336917562724014;Products;51;70;-1;70;51;-1;51;-1;0.4;1
232031352;0.0;Products;52;52;52;-1;52;-1;52;-1;0.4;0
232031357;0.21691756272401433;Systems & Services;52;59;-1;59;-1;52;54;52;0.4;1
232031358;0.013046594982078854;Products;52;69;-1;69;-1;52;55;52;0.4;1
232031359;0.003236559139784946;Products;52;56;-1;56;-1;52;52;-1;0.4;1
232031361;0.004641577060931899;Products;52;52;-1;52;-1;52;52;-1;0.4;1
232031363;1.0;Products;52;52;52;-1;-1;-1;-1;-1;0.0;0
232031364;0.05017921146953405;Products;52;53;-1;53;-1;-1;-1;53;0.8;1
232031365;0.0;Products;52;52;52;-1;52;-1;52;-1;0.4;0
232031366;0.009423799283154122;Products;52;52;-1;52;-1;52;52;-1;0.4;1
232031369;0.017921146953405017;Products;52;52;52;-1;52;52;-1;-1;0.2;0
232031370;0.0;Products;52;52;52;-1;52;-1;52;-1;0.4;0
232031373;0.0;Products;52;52;52;-1;52;-1;52;-1;0.4;0
232031377;0.0015913978494623655;Products;52;52;-1;52;-1;52;52;-1;0.4;1
232031387;0.232831541218638;Products;52;59;-1;59;52;-1;52;57;0.8;1
232031388;0.018786594982078852;Products;52;55;-1;55;52;-1;52;-1;0.4;1
232031392;0.0017921146953405018;Products;52;72;-1;72;-1;70;70;70;0.8;1
232031396;0.006104587813620071;Products;52;52;-1;52;-1;52;52;-1;0.4;1
232031397;0.08243727598566308;Products;52;70;70;-1;70;-1;52;52;0.0;0
232031398;0.0023713261648745515;Products;52;52;-1;52;-1;52;52;-1;0.4;1
232031399;0.014153082437275985;Products;52;66;66;-1;66;52;52;-1;0.0;0
232031400;0.021505376344086023;Products;52;67;-1;67;52;52;52;-1;0.4;1
232031401;0.021505376344086023;Products;52;64;-1;64;52;52;52;-1;0.4;1
232031402;0.021505376344086023;Products;52;63;-1;63;52;52;52;-1;0.4;1
232031403;0.021505376344086023;Products;52;67;-1;67;52;52;52;-1;0.4;1
232031404;0.021505376344086023;Products;52;67;-1;67;52;52;52;-1;0.4;1
232031405;0.021505376344086023;Products;52;67;-1;67;52;52;52;-1;0.4;1
232031406;0.021505376344086023;Products;52;67;-1;67;52;52;52;-1;0.4;1
232031408;0.005376344086021506;Products;52;52;52;-1;-1;-1;-1;-1;0.0;0
232031410;0.0;Products;52;71;-1;71;-1;-1;71;-1;0.4;1
232031411;0.17562724014336917;Products;52;64;-1;64;-1;52;52;-1;0.4;1
232031413;0.003374050179211469;Products;52;67;-1;67;-1;52;52;-1;0.4;1
