LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80
231044260;10000;Products;51;67;-1;67;51;51;-1;-1
231044333;7000;Products;51;67;67;-1;67;51;51;-1
231044374;25890,81;Products;51;67;-1;67;-1;64;-1;64
231044462;15000;Products;52;67;-1;67;52;52;-1;-1
231044470;15000;Systems & Services;52;67;-1;67;67;-1;-1;-1
231044735;40000;Products;55;67;67;-1;67;55;55;-1
231044781;10000;Products;55;67;-1;67;55;-1;55;-1
231044827;15000;Products;56;67;-1;67;56;56;-1;-1
231044916;60000;Products;56;67;-1;67;-1;67;-1;-1
231044976;25000;Products;57;67;-1;67;-1;-1;57;57
231045060;0;Products;58;67;-1;67;58;58;-1;-1
231045160;57304,78;Products;59;67;67;-1;67;67;-1;-1
231045167;45000;Systems & Services;59;67;-1;67;-1;59;-1;59
231045169;55000;Products;59;67;-1;67;59;59;-1;-1
231045245;20000;Products;60;67;67;-1;67;67;-1;-1
231045255;65000;Products;60;67;-1;67;60;-1;60;-1
231045286;10000;Products;60;67;-1;67;-1;60;60;-1
231045388;1000;Products;-1;67;67;-1;67;67;-1;-1
231045391;1000;Products;-1;67;67;-1;67;67;-1;-1
231045405;12000;Products;62;67;67;-1;67;67;-1;-1
231045467;80000;Products;62;67;-1;67;-1;-1;-1;67
231045551;5000;Products;63;67;-1;67;-1;-1;63;63
231045604;50000;Products;64;67;67;-1;67;64;64;-1
231045624;10000;Products;64;67;-1;67;64;64;64;-1
231045675;15000;Products;65;67;-1;67;-1;66;-1;66
231045725;114750;Products;65;67;-1;67;-1;-1;-1;67
231045737;7000;Products;65;67;-1;67;65;65;65;-1
231045742;7000;Products;65;67;-1;67;65;65;65;-1
231045778;57657,6;Products;66;67;-1;67;-1;67;-1;-1
231045797;20000;Systems & Services;66;67;67;-1;67;67;-1;-1
231045827;3561;Products;66;67;-1;67;66;-1;66;-1
231045831;6220;Products;66;67;-1;67;-1;66;66;-1
231045868;2425;Products;67;67;-1;67;-1;67;67;-1
231045877;4000;Products;67;67;-1;67;67;-1;67;-1
231045879;20000;Products;67;67;-1;67;-1;-1;-1;67
231045884;20000;Products;67;67;-1;67;-1;-1;-1;67
231045893;50000;Systems & Services;67;67;67;-1;67;67;-1;-1
232027533;50426;Products;3;67;67;-1;30;3;3;-1
232027952;7040,21;Products;7;67;-1;67;-1;-1;65;65
232028182;50000;Systems & Services;10;67;67;-1;67;67;-1;-1
232028293;87000;Products;11;67;67;-1;11;11;30;30
232028306;250000;Systems & Services;11;67;-1;67;11;53;11;-1
232029110;15000;Products;22;67;67;-1;22;-1;22;-1
232029322;100000;Products;24;67;67;-1;67;-1;24;24
232029335;80000;Products;24;67;-1;67;54;64;24;24
232029405;5700,61;Products;25;67;-1;67;-1;-1;67;-1
232029747;21108,76;Products;31;67;-1;67;-1;36;36;67
232029892;7777,4;Products;34;67;67;-1;67;-1;67;-1
232030081;2367,32;Products;36;67;67;-1;48;-1;48;-1
232030315;8903;Products;39;67;67;-1;67;-1;67;-1
232030477;16070;Products;41;67;-1;67;-1;66;66;-1
232030796;2088,6;Products;45;67;67;-1;67;-1;67;-1
232030880;2452,46;Products;46;67;-1;67;-1;-1;67;-1
232030911;5365,74;Products;47;67;67;-1;67;47;47;-1
232030912;17081;Products;47;67;67;-1;67;47;47;-1
232031063;1525,13;Products;49;67;-1;67;-1;-1;60;60
232031079;1722,89;Products;49;67;67;-1;67;-1;67;-1
232031306;1910;Products;51;67;-1;67;-1;51;51;-1
232031400;7000;Products;52;67;-1;67;52;52;52;-1
232031403;7000;Products;52;67;-1;67;52;52;52;-1
232031404;7000;Products;52;67;-1;67;52;52;52;-1
232031405;7000;Products;52;67;-1;67;52;52;52;-1
232031406;7000;Products;52;67;-1;67;52;52;52;-1
232031413;1941,36;Products;52;67;-1;67;-1;52;52;-1
232031456;1400;Products;54;67;-1;67;-1;54;54;-1
232031514;5214,37;Products;55;67;67;-1;67;-1;67;-1
