LeadID;Amount;BusinessModel;WeekCreated;WeekClosed;WeekLost;WeekWon;WeekUnlikely-0;WeekPipeline-20;WeekBestCase-40;WeekCommit-80;CertaintyForConv;ConvertedLead
232027881;100000;Products;6;71;-1;71;-1;6;6;65;0.8;1
232027883;4742;Products;7;15;15;-1;15;7;7;-1;0;0
232027884;29557.56;Systems & Services;7;34;-1;34;-1;7;7;-1;0.4;1
232027885;29761;Products;7;18;-1;18;7;16;7;-1;0.2;1
232027886;5000;Products;7;7;7;-1;7;-1;7;-1;0.4;0
232027887;26788.36;Products;7;8;-1;8;7;-1;-1;7;0.8;1
232027888;2000;Products;7;7;7;-1;-1;-1;-1;-1;0;0
232027889;3351.64;Products;7;8;-1;8;-1;-1;-1;8;0.8;1
232027890;5007.66;Products;7;43;43;-1;43;7;7;-1;0;0
232027891;6736;Products;7;18;-1;18;-1;-1;18;-1;0.4;1
232027892;20000;Products;7;21;21;-1;21;21;-1;-1;0.2;0
232027893;60881;Systems & Services;7;27;27;-1;27;7;10;7;0;0
232027895;1;Products;7;7;7;-1;7;-1;7;-1;0.4;0
232027896;10000;Products;7;7;7;-1;7;7;-1;-1;0.2;0
232027897;1500;Products;7;7;7;-1;7;-1;7;-1;0.4;0
232027898;29082;Products;7;49;49;-1;7;-1;7;-1;0.4;0
232027901;3000;Products;7;7;7;-1;7;-1;7;-1;0.4;0
232027902;35000;Products;7;22;22;-1;22;7;7;-1;0;0
232027906;1242;Products;7;47;47;-1;47;7;7;-1;0;0
232027907;29000;Products;7;72;72;-1;7;-1;7;-1;0.4;0
232027908;3828.78;Products;7;13;-1;13;-1;7;7;-1;0.4;1
232027909;2436.3;Products;7;32;32;-1;32;7;7;-1;0;0
232027911;2328;Products;7;10;-1;10;-1;-1;10;-1;0.4;1
232027913;2506;Products;7;34;-1;34;-1;7;7;-1;0.4;1
232027914;1501.07;Products;7;11;11;-1;11;-1;11;-1;0.4;0
232027915;50000;Products;7;8;-1;8;-1;7;7;-1;0.4;1
232027916;2000;Products;7;32;32;-1;32;7;7;-1;0;0
232027917;5000;Products;7;7;7;-1;7;7;-1;-1;0.2;0
232027918;18000;Products;7;7;-1;7;-1;-1;7;7;0.8;1
232027919;6471.28;Products;7;7;-1;7;-1;-1;-1;7;0.8;1
232027920;6500;Products;7;7;-1;7;-1;-1;7;7;0.8;1
232027921;600;Products;7;11;-1;11;-1;-1;11;-1;0.4;1
232027922;25000;Products;7;24;24;-1;24;-1;24;-1;0.4;0
232027923;25000;Products;7;24;24;-1;24;-1;24;-1;0.4;0
232027924;25000;Products;7;24;24;-1;24;-1;24;-1;0.4;0
232027925;15778.6;Products;7;14;-1;14;7;-1;7;-1;0.4;1
232027926;5000;Products;7;32;32;-1;32;32;-1;-1;0.2;0
232027928;10000;Products;7;10;10;-1;10;10;-1;-1;0.2;0
232027930;25000;Products;7;33;33;-1;7;-1;7;-1;0.4;0
232027933;1200;Products;7;23;-1;23;-1;7;7;-1;0.4;1
232027935;20000;Products;7;62;62;-1;7;-1;7;-1;0.4;0
232027936;1830.06;Products;7;11;-1;11;-1;-1;11;-1;0.4;1
232027937;4981.96;Products;7;7;-1;7;-1;-1;7;-1;0.4;1
232027938;68943.41;Products;7;14;-1;14;7;7;-1;-1;0.2;1
232027939;1343.1;Products;7;12;-1;12;-1;-1;12;-1;0.4;1
232027941;34620;Products;7;48;-1;48;7;7;8;-1;0.4;1
232027942;20000;Products;7;65;65;-1;65;65;-1;-1;0.2;0
232027943;13783;Products;7;9;-1;9;-1;-1;-1;9;0.8;1
232027945;7152;Products;7;17;-1;17;-1;-1;17;-1;0.4;1
232027946;2122;Products;7;11;-1;11;-1;-1;11;-1;0.4;1
232027947;10000;Products;7;39;39;-1;39;-1;39;-1;0.4;0
232027949;3274.73;Products;7;11;-1;11;7;7;-1;-1;0.2;1
232027950;2206;Products;7;10;-1;10;-1;-1;10;-1;0.4;1
232027951;1547;Products;7;8;-1;8;-1;-1;8;-1;0.4;1
232027952;7040.21;Products;7;67;-1;67;-1;-1;65;65;0.8;1
232027954;2670.69;Products;7;18;18;-1;18;-1;18;-1;0.4;0
232027956;17537.85;Products;7;9;-1;9;-1;7;7;-1;0.4;1
232027959;15000;Products;7;63;-1;63;-1;7;-1;7;0.8;1
232027960;1459;Products;7;15;-1;15;-1;-1;15;-1;0.4;1
232027961;16000;Products;7;29;29;-1;29;7;7;-1;0;0
232027962;1928;Products;7;11;-1;11;-1;-1;11;-1;0.4;1
232027963;4371.96;Products;7;11;-1;11;-1;-1;11;-1;0.4;1
232027964;16291.41;Products;7;15;15;-1;15;7;7;-1;0;0
232027966;7988.62;Products;7;19;-1;19;-1;-1;19;-1;0.4;1
232027967;13400;Products;7;11;11;-1;11;-1;11;-1;0.4;0
232027970;81000;Systems & Services;7;29;-1;29;-1;7;23;7;0.4;1
232027972;6000;Products;8;62;62;-1;62;62;-1;-1;0.2;0
232027973;3773.4;Products;8;49;49;-1;49;10;10;-1;0;0
232027974;14140;Products;8;60;-1;60;-1;-1;8;8;0.8;1
232027975;30000;Systems & Services;8;21;-1;21;8;8;-1;-1;0.2;1
232027976;40150;Systems & Services;8;49;49;-1;49;-1;49;-1;0.4;0
232027977;2480;Products;8;70;70;-1;8;-1;8;-1;0.4;0
232027978;1;Products;8;29;-1;29;29;-1;-1;-1;0;1
232027979;15000;Products;8;9;-1;9;-1;9;-1;-1;0.2;1
232027981;5000;Products;8;8;8;-1;8;8;-1;-1;0.2;0
232027982;30000;Products;8;8;8;-1;8;8;-1;-1;0.2;0
232027983;80000;Products;8;43;43;-1;43;43;-1;-1;0.2;0
232027984;5487;Products;8;17;-1;17;-1;-1;17;-1;0.4;1
232027987;8050.83;Products;8;10;-1;10;-1;8;8;-1;0.4;1
232027988;1959;Products;8;11;-1;11;8;-1;8;-1;0.4;1
232027989;6000;Products;8;40;-1;40;-1;8;8;-1;0.4;1
232027990;30000;Systems & Services;8;16;16;-1;16;8;8;-1;0;0
232027991;2318.6;Products;8;8;-1;8;-1;-1;8;8;0.8;1
232027993;30000;Systems & Services;8;49;49;-1;49;8;-1;8;0;0
232027994;30000;Systems & Services;8;38;38;-1;38;8;24;8;0;0
232027995;1640.62;Products;8;17;-1;17;-1;-1;17;-1;0.4;1
232027996;10592.71;Products;8;23;23;-1;23;-1;23;-1;0.4;0
232027997;90000;Products;8;44;-1;44;8;8;32;-1;0.4;1
232027999;2031.51;Products;8;8;-1;8;-1;-1;8;-1;0.4;1
232028000;2705;Products;8;25;-1;25;-1;-1;25;-1;0.4;1
232028001;30000;Products;8;43;43;-1;43;10;10;-1;0;0
232028002;9203.77;Products;8;8;8;-1;8;8;-1;-1;0.2;0
232028003;4511;Products;8;52;52;-1;52;-1;52;-1;0.4;0
232028004;3700;Products;8;39;-1;39;-1;-1;18;18;0.8;1
232028005;1336.49;Products;8;11;-1;11;-1;-1;11;-1;0.4;1
232028006;3888;Products;8;28;-1;28;-1;-1;14;14;0.8;1
232028007;7500;Products;8;10;-1;10;-1;8;8;-1;0.4;1
232028008;20000;Products;8;10;-1;10;-1;8;8;-1;0.4;1
232028009;30000;Products;8;17;17;-1;8;8;-1;-1;0.2;0
232028010;40000;Products;8;70;70;-1;70;70;-1;-1;0.2;0
232028011;5000;Products;8;10;-1;10;-1;-1;10;-1;0.4;1
232028013;5000;Products;8;62;62;-1;62;62;-1;-1;0.2;0
232028014;1197;Products;8;18;-1;18;8;8;8;-1;0.4;1
232028015;75000;Products;8;35;-1;35;-1;23;-1;23;0.8;1
232028017;6000;Products;8;39;-1;39;-1;18;-1;18;0.8;1
232028018;25000;Products;8;52;52;-1;52;8;8;-1;0;0
232028019;1;Products;8;8;8;-1;8;8;-1;-1;0.2;0
232028020;100000;Products;8;11;11;-1;11;11;-1;-1;0.2;0
232028021;30000;Products;8;8;8;-1;8;-1;8;-1;0.4;0
232028022;12000;Products;8;19;19;-1;19;-1;-1;19;0.8;0
232028023;12000;Products;8;8;-1;8;8;-1;-1;-1;0;1
232028024;31397;Products;8;31;-1;31;-1;8;8;25;0.8;1
232028025;8186.2;Products;8;38;38;-1;38;-1;38;-1;0.4;0
232028026;8725.19;Products;8;17;17;-1;17;-1;17;-1;0.4;0
232028027;25000;Systems & Services;8;47;47;-1;33;8;8;-1;0;0
